Linux 3.11.0-17-generic (axle) 	10/11/14 	_x86_64_	(64 CPU)

23:44:58        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:45:58        all      9.17      0.00     17.08      1.18      0.00     72.57
23:46:58        all      7.63      0.00     14.27      0.37      0.00     77.73
23:47:58        all      6.90      0.00     17.19      0.14      0.00     75.78
23:48:58        all      5.31      0.00     16.32      0.10      0.00     78.27
23:49:58        all      3.48      0.00     13.21      0.13      0.00     83.19
23:50:58        all      3.91      0.00     16.38      0.12      0.00     79.60
23:51:58        all      3.60      0.00     16.15      0.19      0.00     80.06
23:52:58        all      3.87      0.00     15.26      0.05      0.00     80.82
23:53:58        all      5.60      0.00     19.58      0.02      0.00     74.80
23:54:58        all      9.91      0.00     17.23      0.09      0.00     72.76
23:55:58        all      7.61      0.00     15.19      0.19      0.00     77.01
23:56:58        all      5.78      0.00     16.89      0.09      0.00     77.23
23:57:58        all      5.70      0.00     16.83      0.01      0.00     77.46
23:58:58        all      5.25      0.00     13.58      0.02      0.00     81.15
23:59:58        all      4.37      0.00     15.33      0.10      0.00     80.19
