Linux 3.11.0-17-generic (axle) 	11/11/14 	_x86_64_	(64 CPU)

00:00:48        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:01:48        all      3.95      0.00     17.38      0.08      0.00     78.59
00:02:48        all      3.75      0.00     13.53      0.00      0.00     82.72
00:03:48        all      4.18      0.00     16.35      0.00      0.00     79.47
00:04:48        all      4.00      0.00     15.22      0.06      0.00     80.73
00:05:48        all      3.99      0.00     15.32      0.08      0.00     80.61
00:06:48        all      3.93      0.00     15.49      0.06      0.00     80.53
00:07:48        all      4.30      0.00     17.19      0.00      0.00     78.51
00:08:48        all      4.15      0.00     15.31      0.01      0.00     80.54
00:09:48        all      3.92      0.00     14.56      0.05      0.00     81.46
00:10:48        all      3.85      0.00     14.58      0.08      0.00     81.49
00:11:48        all      3.82      0.00     14.39      0.06      0.00     81.73
00:12:48        all      4.16      0.00     16.62      0.00      0.00     79.23
00:13:48        all      4.26      0.00     17.19      0.00      0.00     78.55
00:14:48        all      3.96      0.00     15.04      0.07      0.00     80.93
00:15:48        all      4.14      0.00     16.36      0.08      0.00     79.42
00:16:48        all      4.16      0.00     16.13      0.06      0.00     79.64
00:17:48        all      4.01      0.00     14.60      0.00      0.00     81.39
00:18:48        all      4.28      0.00     17.57      0.00      0.00     78.15
00:19:48        all      2.00      0.00      5.74      0.10      0.00     92.16
00:20:48        all      1.56      0.00      0.04      0.00      0.00     98.40
00:21:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:22:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:23:48        all      1.55      0.00      0.05      0.00      0.00     98.40
00:24:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:25:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:26:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:27:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:28:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:29:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:30:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:31:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:32:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:33:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:34:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:35:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:36:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:37:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:38:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:39:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:40:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:41:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:42:48        all      1.56      0.00      0.03      0.00      0.00     98.40
00:43:48        all      1.57      0.00      0.03      0.00      0.00     98.40
00:44:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:45:48        all      1.57      0.00      0.04      0.00      0.00     98.40
00:46:48        all      1.57      0.00      0.04      0.00      0.00     98.40
00:47:48        all      1.57      0.00      0.04      0.00      0.00     98.40
00:48:48        all      1.57      0.00      0.04      0.00      0.00     98.40
00:49:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:50:48        all      1.57      0.00      0.04      0.00      0.00     98.39
00:51:48        all      1.57      0.00      0.05      0.00      0.00     98.38
00:52:48        all      1.55      0.00      0.04      0.00      0.00     98.41
00:53:48        all      1.54      0.00      0.05      0.00      0.00     98.41
00:54:48        all      1.55      0.00      0.04      0.00      0.00     98.41
00:55:48        all      1.56      0.00      0.04      0.00      0.00     98.41
00:56:48        all      1.55      0.00      0.04      0.00      0.00     98.41
00:57:48        all      1.54      0.00      0.05      0.00      0.00     98.41
00:58:48        all      1.55      0.00      0.04      0.00      0.00     98.41
00:59:48        all      1.55      0.00      0.04      0.00      0.00     98.41
01:00:48        all      1.55      0.33      1.14      0.00      0.00     96.98
01:01:48        all      1.56      0.41      1.44      0.00      0.00     96.58
01:02:48        all      1.56      0.44      1.49      0.00      0.00     96.51
01:03:48        all      1.56      0.40      1.42      0.00      0.00     96.62
