Q16,5.6,->  Index Scan using supplier_s_suppkey_idx_like on supplier  (cost=0.00..8.45 rows=10 width=4) (actual time=0.094..0.734 rows=56 loops=1)
Q5,5.0,Sort  (cost=2481355.38..2481355.44 rows=25 width=34) (actual time=58838.350..58838.351 rows=5 loops=1)
Q5,5.0,->  HashAggregate  (cost=2481354.55..2481354.80 rows=25 width=34) (actual time=58838.296..58838.298 rows=5 loops=1)
Q4,5.0,Sort  (cost=1290170.25..1290170.25 rows=1 width=16) (actual time=82321.109..82321.110 rows=5 loops=1)
Q4,5.0,->  HashAggregate  (cost=1290170.23..1290170.24 rows=1 width=16) (actual time=82320.957..82320.958 rows=5 loops=1)
Q13,4.3,Sort  (cost=926252.96..926253.46 rows=200 width=8) (actual time=70006.988..70006.991 rows=46 loops=1)
Q13,4.3,->  HashAggregate  (cost=926243.31..926245.31 rows=200 width=8) (actual time=70006.873..70006.880 rows=46 loops=1)
Q17,3.8,->  Hash Join  (cost=6675.35..10607844.31 rows=20376 width=4) (actual time=36.328..28059.192 rows=5239 loops=1)
Q4,3.3,->  Hash Join  (cost=1020983.59..1289392.00 rows=155646 width=16) (actual time=70631.926..81994.455 rows=527392 loops=1)
Q22,2.3,Sort  (cost=695499.04..695499.04 rows=3 width=20) (actual time=15983.330..15983.331 rows=7 loops=1)
Q22,2.3,->  HashAggregate  (cost=642491.50..642491.55 rows=3 width=20) (actual time=15983.245..15983.246 rows=7 loops=1)
Q20,2.2,->  Merge Join  (cost=7614.88..1128221684.59 rows=26693 width=4) (actual time=44.984..331354.640 rows=59439 loops=1)
Q2,2.0,->  Hash Join  (cost=17.03..3921.04 rows=1 width=4) (actual time=15.388..40.109 rows=2 loops=6287)
Q20,2.0,->  Index Scan using pk_partsupp on partsupp  (cost=0.00..1128123573.20 rows=2666667 width=8) (actual time=0.574..329304.265 rows=5431877 loops=1)
Q16,2.0,->  Sort  (cost=446542.51..448022.21 rows=591880 width=40) (actual time=43169.817..43411.964 rows=1186790 loops=1)
Q16,2.0,->  Hash Join  (cost=57919.38..389796.18 rows=591880 width=40) (actual time=998.394..11831.234 rows=1186790 loops=1)
Q12,2.0,Sort  (cost=994018.32..994018.33 rows=1 width=27) (actual time=24512.063..24512.064 rows=2 loops=1)
Q12,2.0,->  HashAggregate  (cost=994018.30..994018.31 rows=1 width=27) (actual time=24511.966..24511.967 rows=2 loops=1)
Q21,1.9,->  Hash Join  (cost=3645.32..1903757.91 rows=800612 width=34) (actual time=45.683..34446.680 rows=1521737 loops=1)
Q16,1.9,->  Seq Scan on partsupp  (cost=8.48..270966.48 rows=4000000 width=8) (actual time=0.803..5689.904 rows=7995520 loops=1)
Q10,1.9,->  Merge Join  (cost=334312.90..1075906.96 rows=576110 width=12) (actual time=3108.247..17333.761 rows=1148201 loops=1)
Q10,1.9,->  Hash Join  (cost=403342.46..1164380.23 rows=576110 width=176) (actual time=4593.348..20307.561 rows=1148201 loops=1)
Q10,1.9,->  Hash Join  (cost=403340.90..1156457.16 rows=576110 width=154) (actual time=4593.314..19907.592 rows=1148201 loops=1)
Q4,1.8,->  Index Scan using lineitem_l_orderkey_idx_part1 on lineitem  (cost=0.00..927979.37 rows=20075196 width=4) (actual time=0.198..28178.035 rows=37966584 loops=1)
